,ID,Lat,Lng,Bump,Distance(mi),Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Stop,Amenity,Side,Severity,timestamp_x,date,hour,hours_Min,Year,Day,Month,Hour,Weather_Condition,Wind_Chill(F),Precipitation(in),Temperature(F),Humidity(%),Wind_Speed(mph),Visibility(mi),Selected,timestamp_y,description
10,6,37.727318,-122.40275600000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-10-23 07:11:42,2019-10-23,7,07:11,2019,23,10,7,Fair,61.0,0.0,61.0,60.0,0.0,10.0,No,2019-10-23 07:00:00,
11,7,37.731277,-122.43521899999999,0,0.01,0,0,0,0,0,0,0,0,1,3,2016-03-25 13:36:15,2016-03-25,13,13:36,2016,25,3,13,Scattered Clouds,,,64.9,58.0,13.8,10.0,No,2016-03-25 13:00:00,
12,8,37.787867,-122.39683600000001,0,0.0,1,0,0,0,0,0,0,1,0,2,2020-02-23 18:38:00,2020-02-23,18,18:38,2020,23,2,18,Fair,58.0,0.0,58.0,72.0,5.0,10.0,No,2020-02-23 18:00:00,
13,9,37.756806,-122.40361200000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-25 18:07:00,2019-09-25,18,18:07,2019,25,9,18,Partly Cloudy,86.0,0.0,86.0,40.0,10.0,10.0,No,2019-09-25 18:00:00,
14,9,37.756806,-122.40361200000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-25 18:07:00,2019-09-25,18,18:07,2019,25,9,18,Fair,86.0,0.0,86.0,30.0,16.0,10.0,No,2019-09-25 18:00:00,
15,10,37.768959,-122.40661599999999,0,0.579999983311,0,0,1,0,0,0,0,0,1,3,2020-02-28 19:41:14,2020-02-28,19,19:41,2020,28,2,19,Mostly Cloudy,52.0,0.0,52.0,83.0,13.0,10.0,No,2020-02-28 19:00:00,
16,10,37.768959,-122.40661599999999,0,0.579999983311,0,0,1,0,0,0,0,0,1,3,2020-02-28 19:41:14,2020-02-28,19,19:41,2020,28,2,19,Cloudy,52.0,0.0,52.0,83.0,12.0,10.0,No,2020-02-28 19:00:00,
17,11,37.72119,-122.44776999999999,0,0.198,1,0,0,0,1,0,0,0,0,2,2016-10-03 14:26:38,2016-10-03,14,14:26,2016,3,10,14,Overcast,,,64.0,60.0,10.4,10.0,No,2016-10-03 14:00:00,
18,12,37.81053,-122.36464,0,0.0,0,0,1,0,0,0,0,0,1,1,2020-06-06 13:30:49,2020-06-06,13,13:30,2020,6,6,13,Fair / Windy,69.0,0.0,69.0,51.0,26.0,10.0,No,2020-06-06 13:00:00,
19,13,37.753231,-122.40284,0,0.0,0,0,0,0,0,0,0,0,1,2,2018-02-17 09:55:48,2018-02-17,9,09:55,2018,17,2,9,Clear,,,55.9,49.0,3.5,10.0,No,2018-02-17 09:00:00,
20,14,37.73007,-122.43918000000001,0,0.857,0,0,0,0,0,0,0,0,1,1,2020-04-05 11:13:58,2020-04-05,11,11:13,2020,5,4,11,Light Rain,53.0,0.11,53.0,83.0,10.0,4.0,No,2020-04-05 11:00:00,
21,14,37.73007,-122.43918000000001,0,0.857,0,0,0,0,0,0,0,0,1,1,2020-04-05 11:13:58,2020-04-05,11,11:13,2020,5,4,11,Rain,53.0,0.19,53.0,86.0,12.0,4.0,No,2020-04-05 11:00:00,
22,15,37.752502,-122.403015,0,0.0,0,0,1,0,0,0,0,0,1,2,2019-08-28 21:35:14,2019-08-28,21,21:35,2019,28,8,21,Cloudy,67.0,0.0,67.0,76.0,10.0,10.0,No,2019-08-28 21:00:00,
23,16,37.808498,-122.36685200000001,0,0.0,0,0,0,0,0,0,1,0,1,3,2017-11-29 04:19:41,2017-11-29,4,04:19,2017,29,11,4,Clear,43.5,,45.0,93.0,3.5,10.0,No,2017-11-29 04:00:00,
24,17,37.774891,-122.401016,0,0.0,0,0,0,0,0,0,0,1,1,2,2016-09-07 13:06:12,2016-09-07,13,13:06,2016,7,9,13,Clear,,,82.9,28.0,8.1,10.0,No,2016-09-07 13:00:00,
25,18,37.718610999999996,-122.47258400000001,0,0.0,0,0,0,0,0,0,1,0,0,2,2019-12-06 22:58:00,2019-12-06,22,22:58,2019,6,12,22,Light Rain,55.0,0.15,55.0,94.0,10.0,3.0,No,2019-12-06 22:00:00,
26,18,37.718610999999996,-122.47258400000001,0,0.0,0,0,0,0,0,0,1,0,0,2,2019-12-06 22:58:00,2019-12-06,22,22:58,2019,6,12,22,Rain,55.0,0.17,55.0,93.0,14.0,4.0,No,2019-12-06 22:00:00,
27,18,37.718610999999996,-122.47258400000001,0,0.0,0,0,0,0,0,0,1,0,0,2,2019-12-06 22:58:00,2019-12-06,22,22:58,2019,6,12,22,Light Rain,55.0,0.15,55.0,93.0,10.0,3.0,No,2019-12-06 22:00:00,
28,19,37.769290999999996,-122.41076399999999,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-04-08 22:08:00,2020-04-08,22,22:08,2020,8,4,22,Partly Cloudy,54.0,0.0,54.0,75.0,12.0,10.0,No,2020-04-08 22:00:00,
29,19,37.769290999999996,-122.41076399999999,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-04-08 22:08:00,2020-04-08,22,22:08,2020,8,4,22,Partly Cloudy,53.0,0.0,53.0,77.0,0.0,10.0,No,2020-04-08 22:00:00,
30,20,37.72518,-122.40168999999999,0,0.0,0,0,1,0,0,0,0,0,1,2,2020-04-24 16:26:30,2020-04-24,16,16:26,2020,24,4,16,Fair / Windy,67.0,0.0,67.0,51.0,26.0,10.0,No,2020-04-24 16:00:00,
31,20,37.72518,-122.40168999999999,0,0.0,0,0,1,0,0,0,0,0,1,2,2020-04-24 16:26:30,2020-04-24,16,16:26,2020,24,4,16,Fair / Windy,67.0,0.0,67.0,49.0,25.0,10.0,No,2020-04-24 16:00:00,
32,21,37.733096999999994,-122.40561699999999,0,0.0,0,0,1,0,0,0,0,0,1,2,2018-05-09 08:09:29,2018-05-09,8,08:09,2018,9,5,8,Overcast,,,57.0,83.0,11.5,10.0,No,2018-05-09 08:00:00,
33,22,37.745056,-122.404999,0,0.0,0,0,1,0,0,0,0,0,1,2,2019-12-03 15:48:13,2019-12-03,15,15:48,2019,3,12,15,Light Rain,59.0,0.04,59.0,78.0,0.0,8.0,No,2019-12-03 15:00:00,
34,22,37.745056,-122.404999,0,0.0,0,0,1,0,0,0,0,0,1,2,2019-12-03 15:48:13,2019-12-03,15,15:48,2019,3,12,15,Cloudy,59.0,0.0,59.0,78.0,0.0,9.0,No,2019-12-03 15:00:00,
35,22,37.745056,-122.404999,0,0.0,0,0,1,0,0,0,0,0,1,2,2019-12-03 15:48:13,2019-12-03,15,15:48,2019,3,12,15,Cloudy,57.0,0.0,57.0,83.0,5.0,10.0,No,2019-12-03 15:00:00,
36,23,37.808253,-122.366974,0,0.0,0,0,1,0,0,0,1,0,1,2,2020-02-02 16:13:00,2020-02-02,16,16:13,2020,2,2,16,Partly Cloudy,56.0,0.0,56.0,36.0,18.0,10.0,No,2020-02-02 16:00:00,
37,23,37.808253,-122.366974,0,0.0,0,0,1,0,0,0,1,0,1,2,2020-02-02 16:13:00,2020-02-02,16,16:13,2020,2,2,16,Fair / Windy,57.0,0.0,57.0,40.0,23.0,10.0,No,2020-02-02 16:00:00,
38,24,37.743961,-122.405602,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-03-18 06:43:17,2020-03-18,6,06:43,2020,18,3,6,Light Rain,47.0,0.0,47.0,80.0,3.0,10.0,No,2020-03-18 06:00:00,
39,24,37.743961,-122.405602,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-03-18 06:43:17,2020-03-18,6,06:43,2020,18,3,6,Cloudy,45.0,0.0,49.0,77.0,9.0,10.0,No,2020-03-18 06:00:00,
40,25,37.740952,-122.401541,0,0.0,0,0,0,0,0,0,0,0,0,2,2019-11-13 11:27:00,2019-11-13,11,11:27,2019,13,11,11,Mostly Cloudy,59.0,0.0,59.0,69.0,13.0,8.0,No,2019-11-13 11:00:00,
41,26,37.75682800000001,-122.40358,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-02-25 20:14:00,2020-02-25,20,20:14,2020,25,2,20,Fair,64.0,0.0,64.0,40.0,0.0,10.0,No,2020-02-25 20:00:00,
42,27,37.752502,-122.40303,0,0.0,0,0,1,0,0,0,0,0,1,2,2020-01-08 18:36:27,2020-01-08,18,18:36,2020,8,1,18,Cloudy,53.0,0.0,53.0,77.0,12.0,10.0,No,2020-01-08 18:00:00,
43,28,37.807072,-122.47561599999999,0,0.0,0,0,0,0,0,0,0,0,1,2,2016-07-03 12:41:21,2016-07-03,12,12:41,2016,3,7,12,Partly Cloudy,,,66.0,68.0,12.7,10.0,No,2016-07-03 12:00:00,
44,29,37.743916999999996,-122.405635,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-09 14:38:00,2019-09-09,14,14:38,2019,9,9,14,Partly Cloudy / Windy,73.0,0.0,73.0,64.0,23.0,10.0,No,2019-09-09 14:00:00,
45,29,37.743916999999996,-122.405635,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-09 14:38:00,2019-09-09,14,14:38,2019,9,9,14,Fair,77.0,0.0,77.0,52.0,18.0,10.0,No,2019-09-09 14:00:00,
46,30,37.737713,-122.40786000000001,0,0.0,0,0,0,0,0,0,0,0,1,3,2018-01-07 18:56:44,2018-01-07,18,18:56,2018,7,1,18,Overcast,,,53.1,80.0,,10.0,No,2018-01-07 18:00:00,
47,31,37.76041,-122.40628999999998,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-05-18 22:45:01,2020-05-18,22,22:45,2020,18,5,22,Partly Cloudy,60.0,0.0,60.0,69.0,9.0,10.0,No,2020-05-18 22:00:00,
48,31,37.76041,-122.40628999999998,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-05-18 22:45:01,2020-05-18,22,22:45,2020,18,5,22,Partly Cloudy,60.0,0.0,60.0,69.0,13.0,10.0,No,2020-05-18 22:00:00,
49,31,37.76041,-122.40628999999998,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-05-18 22:45:01,2020-05-18,22,22:45,2020,18,5,22,Fair,56.0,0.0,56.0,77.0,7.0,10.0,No,2020-05-18 22:00:00,
50,32,37.722614,-122.447754,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-06-02 17:01:54,2020-06-02,17,17:01,2020,2,6,17,Mostly Cloudy / Windy,82.0,0.0,82.0,33.0,21.0,10.0,No,2020-06-02 17:00:00,
51,33,37.774974,-122.41006200000001,0,0.0,1,0,0,0,0,0,0,1,0,2,2019-09-24 15:20:00,2019-09-24,15,15:20,2019,24,9,15,Fair,89.0,0.0,89.0,26.0,16.0,10.0,No,2019-09-24 15:00:00,
52,33,37.774974,-122.41006200000001,0,0.0,1,0,0,0,0,0,0,1,0,2,2019-09-24 15:20:00,2019-09-24,15,15:20,2019,24,9,15,Fair,87.0,0.0,87.0,21.0,20.0,10.0,No,2019-09-24 15:00:00,
53,34,37.771858,-122.423309,0,0.0,1,0,0,0,1,0,0,0,0,2,2018-09-02 22:35:19,2018-09-02,22,22:35,2018,2,9,22,Partly Cloudy,,,55.9,87.0,9.2,10.0,No,2018-09-02 22:00:00,
54,35,37.825615,-122.479279,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-12-02 09:21:28,2020-12-02,9,09:21,2020,2,12,9,Fair,53.0,0.0,53.0,74.0,3.0,10.0,No,2020-12-02 09:00:00,
55,36,37.76778,-122.39598799999999,0,0.540000021458,0,0,0,0,0,0,0,0,1,3,2019-01-08 16:52:18,2019-01-08,16,16:52,2019,8,1,16,Mostly Cloudy,,,57.0,81.0,8.1,10.0,No,2019-01-08 16:00:00,
56,37,37.772949,-122.40656299999999,0,0.0,0,0,0,0,0,0,0,0,1,3,2018-09-14 09:52:34,2018-09-14,9,09:52,2018,14,9,9,Mostly Cloudy,,,55.9,84.0,3.5,10.0,No,2018-09-14 09:00:00,
57,37,37.772949,-122.40656299999999,0,0.0,0,0,0,0,0,0,0,0,1,3,2018-09-14 09:52:34,2018-09-14,9,09:52,2018,14,9,9,Mostly Cloudy,,,59.0,78.0,8.1,10.0,No,2018-09-14 09:00:00,
58,38,37.73222,-122.41524,0,0.442,0,0,0,0,0,0,0,0,1,2,2017-03-24 15:08:31,2017-03-24,15,15:08,2017,24,3,15,Light Rain,,0.15,55.0,93.0,3.5,3.0,No,2017-03-24 15:00:00,
59,39,37.719141,-122.448457,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-12-07 15:16:00,2019-12-07,15,15:16,2019,7,12,15,Light Rain,60.0,0.02,60.0,86.0,17.0,4.0,No,2019-12-07 15:00:00,
60,39,37.719141,-122.448457,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-12-07 15:16:00,2019-12-07,15,15:16,2019,7,12,15,Cloudy,62.0,0.02,62.0,80.0,20.0,10.0,No,2019-12-07 15:00:00,
61,39,37.719141,-122.448457,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-12-07 15:16:00,2019-12-07,15,15:16,2019,7,12,15,Cloudy / Windy,62.0,0.02,62.0,78.0,26.0,7.0,No,2019-12-07 15:00:00,
62,39,37.719141,-122.448457,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-12-07 15:16:00,2019-12-07,15,15:16,2019,7,12,15,Rain / Windy,62.0,0.25,62.0,80.0,28.0,3.0,No,2019-12-07 15:00:00,
63,40,37.712811,-122.45349099999999,0,0.0,0,0,0,0,0,0,0,0,0,3,2019-10-08 15:36:29,2019-10-08,15,15:36,2019,8,10,15,Mostly Cloudy,68.0,0.0,68.0,59.0,16.0,10.0,No,2019-10-08 15:00:00,
64,40,37.712811,-122.45349099999999,0,0.0,0,0,0,0,0,0,0,0,0,3,2019-10-08 15:36:29,2019-10-08,15,15:36,2019,8,10,15,Mostly Cloudy,71.0,0.0,71.0,55.0,17.0,10.0,No,2019-10-08 15:00:00,
65,41,37.77412,-122.40576200000001,0,0.300000011921,0,0,0,0,0,0,0,0,1,3,2019-12-20 15:36:58,2019-12-20,15,15:36,2019,20,12,15,Mostly Cloudy,56.0,0.0,56.0,77.0,3.0,10.0,No,2019-12-20 15:00:00,
66,41,37.77412,-122.40576200000001,0,0.300000011921,0,0,0,0,0,0,0,0,1,3,2019-12-20 15:36:58,2019-12-20,15,15:36,2019,20,12,15,Haze,56.0,0.0,56.0,77.0,6.0,6.0,No,2019-12-20 15:00:00,
67,41,37.77412,-122.40576200000001,0,0.300000011921,0,0,0,0,0,0,0,0,1,3,2019-12-20 15:36:58,2019-12-20,15,15:36,2019,20,12,15,Mostly Cloudy,56.0,0.0,56.0,75.0,5.0,10.0,No,2019-12-20 15:00:00,
68,42,37.731355,-122.42383600000001,0,0.0,0,0,1,0,0,0,0,0,1,2,2020-05-14 13:33:00,2020-05-14,13,13:33,2020,14,5,13,Mostly Cloudy,67.0,0.0,67.0,63.0,16.0,9.0,No,2020-05-14 13:00:00,
69,42,37.731355,-122.42383600000001,0,0.0,0,0,1,0,0,0,0,0,1,2,2020-05-14 13:33:00,2020-05-14,13,13:33,2020,14,5,13,Cloudy,64.0,0.0,64.0,67.0,5.0,10.0,No,2020-05-14 13:00:00,
70,43,37.806531,-122.36889599999999,0,0.0,0,0,0,0,0,0,0,0,1,2,2017-04-27 19:44:22,2017-04-27,19,19:44,2017,27,4,19,Scattered Clouds,,,63.0,56.0,15.0,10.0,No,2017-04-27 19:00:00,
71,44,37.800937,-122.447865,0,0.012,1,1,0,0,0,0,0,0,1,2,2020-10-27 17:52:00,2020-10-27,17,17:52,2020,27,10,17,Fair,70.0,0.0,70.0,33.0,12.0,10.0,No,2020-10-27 17:00:00,
72,44,37.800937,-122.447865,0,0.012,1,1,0,0,0,0,0,0,1,2,2020-10-27 17:52:00,2020-10-27,17,17:52,2020,27,10,17,Fair,77.0,0.0,77.0,17.0,7.0,10.0,No,2020-10-27 17:00:00,
73,45,37.80827,-122.36701000000001,0,0.0,0,0,1,0,0,0,1,0,1,2,2020-03-22 16:21:00,2020-03-22,16,16:21,2020,22,3,16,Mostly Cloudy,68.0,0.0,68.0,52.0,15.0,10.0,No,2020-03-22 16:00:00,
74,46,37.775564,-122.40581100000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-29 19:31:00,2019-09-29,19,19:31,2019,29,9,19,Fair,59.0,0.0,59.0,69.0,10.0,10.0,No,2019-09-29 19:00:00,
75,47,37.734898,-122.40866100000001,0,0.01,0,0,0,0,0,0,0,0,1,3,2017-01-19 15:04:05,2017-01-19,15,15:04,2017,19,1,15,Mostly Cloudy,,,55.0,77.0,12.7,10.0,No,2017-01-19 15:00:00,
76,47,37.734898,-122.40866100000001,0,0.01,0,0,0,0,0,0,0,0,1,3,2017-01-19 15:04:05,2017-01-19,15,15:04,2017,19,1,15,Mostly Cloudy,,,55.9,67.0,13.8,10.0,No,2017-01-19 15:00:00,
77,47,37.734898,-122.40866100000001,0,0.01,0,0,0,0,0,0,0,0,1,3,2017-01-19 15:04:05,2017-01-19,15,15:04,2017,19,1,15,Scattered Clouds,,,57.0,72.0,10.4,10.0,No,2017-01-19 15:00:00,
78,47,37.734898,-122.40866100000001,0,0.01,0,0,0,0,0,0,0,0,1,3,2017-01-19 15:04:05,2017-01-19,15,15:04,2017,19,1,15,Mostly Cloudy,,,55.0,69.0,9.2,10.0,No,2017-01-19 15:00:00,
79,48,37.80669,-122.474869,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-21 13:31:29,2019-09-21,13,13:31,2019,21,9,13,Fair,84.0,0.0,84.0,26.0,0.0,10.0,No,2019-09-21 13:00:00,
80,49,37.785542,-122.39138,0,0.01,0,0,1,0,0,0,0,0,1,3,2016-11-30 17:38:08,2016-11-30,17,17:38,2016,30,11,17,Mostly Cloudy,,,51.1,80.0,6.9,10.0,No,2016-11-30 17:00:00,
81,50,37.765283000000004,-122.404835,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-04-30 16:47:00,2020-04-30,16,16:47,2020,30,4,16,Partly Cloudy / Windy,60.0,0.0,60.0,64.0,28.0,10.0,No,2020-04-30 16:00:00,
82,50,37.765283000000004,-122.404835,0,0.0,0,0,0,0,0,0,0,0,1,2,2020-04-30 16:47:00,2020-04-30,16,16:47,2020,30,4,16,Mostly Cloudy / Windy,62.0,0.0,62.0,60.0,25.0,10.0,No,2020-04-30 16:00:00,
83,51,37.752007,-122.403053,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-10 17:48:11,2019-09-10,17,17:48,2019,10,9,17,Fair / Windy,67.0,0.0,67.0,68.0,25.0,10.0,No,2019-09-10 17:00:00,
84,51,37.752007,-122.403053,0,0.0,0,0,0,0,0,0,0,0,1,2,2019-09-10 17:48:11,2019-09-10,17,17:48,2019,10,9,17,Partly Cloudy,71.0,0.0,71.0,61.0,14.0,10.0,No,2019-09-10 17:00:00,
85,52,37.74496,-122.40522,0,0.0,0,0,1,0,0,0,0,0,1,1,2020-06-07 05:14:09,2020-06-07,5,05:14,2020,7,6,5,Fair,52.0,0.0,52.0,83.0,14.0,10.0,No,2020-06-07 05:00:00,
86,53,37.731983,-122.41541299999999,0,0.01,0,0,0,0,0,0,0,0,1,3,2016-11-02 22:27:43,2016-11-02,22,22:27,2016,2,11,22,Clear,,,59.0,67.0,,10.0,No,2016-11-02 22:00:00,
87,53,37.731983,-122.41541299999999,0,0.01,0,0,0,0,0,0,0,0,1,3,2016-11-02 22:27:43,2016-11-02,22,22:27,2016,2,11,22,Clear,,,57.9,72.0,,10.0,No,2016-11-02 22:00:00,
88,54,37.74492,-122.40505,0,0.539,0,0,1,0,0,0,0,0,1,2,2016-06-01 15:08:07,2016-06-01,15,15:08,2016,1,6,15,Mostly Cloudy,,,73.0,53.0,6.9,10.0,No,2016-06-01 15:00:00,
89,55,37.762817,-122.392799,0,0.0,0,0,0,0,0,0,0,0,1,3,2017-07-25 09:01:28,2017-07-25,9,09:01,2017,25,7,9,Overcast,,,66.0,73.0,4.6,10.0,No,2017-07-25 09:00:00,
90,56,37.752502,-122.40303,0,0.0,0,0,1,0,0,0,0,0,1,2,2019-11-04 09:39:31,2019-11-04,9,09:39,2019,4,11,9,Fair,60.0,0.0,60.0,72.0,5.0,10.0,No,2019-11-04 09:00:00,
91,57,37.723620000000004,-122.40133999999999,0,0.136,0,0,0,0,0,0,0,0,1,2,2016-09-07 07:35:53,2016-09-07,7,07:35,2016,7,9,7,Clear,,,64.9,75.0,,10.0,No,2016-09-07 07:00:00,
92,58,37.778107,-122.401192,0,0.0,0,0,0,0,0,0,0,0,1,3,2020-12-12 17:15:06,2020-12-12,17,17:15,2020,12,12,17,Mostly Cloudy,55.0,0.0,55.0,67.0,6.0,10.0,No,2020-12-12 17:00:00,
93,59,37.778090999999996,-122.401176,0,0.0,0,0,0,0,0,0,0,0,1,3,2017-11-05 21:18:21,2017-11-05,21,21:18,2017,5,11,21,Clear,,,53.1,83.0,3.5,10.0,No,2017-11-05 21:00:00,
94,60,37.74497,-122.40521000000001,0,0.0,0,0,1,0,0,0,0,0,1,4,2020-04-30 22:44:01,2020-04-30,22,22:44,2020,30,4,22,Mostly Cloudy / Windy,53.0,0.0,53.0,80.0,23.0,10.0,No,2020-04-30 22:00:00,
95,61,37.74492,-122.40505,0,0.539,0,0,1,0,0,0,0,0,1,2,2016-05-12 20:47:48,2016-05-12,20,20:47,2016,12,5,20,Mostly Cloudy,,,57.0,87.0,15.0,10.0,No,2016-05-12 20:00:00,
96,61,37.74492,-122.40505,0,0.539,0,0,1,0,0,0,0,0,1,2,2016-05-12 20:47:48,2016-05-12,20,20:47,2016,12,5,20,Mostly Cloudy,,,57.9,72.0,16.1,10.0,No,2016-05-12 20:00:00,
97,62,37.765289,-122.40489199999999,0,0.0,0,0,0,0,0,0,0,0,1,3,2018-03-23 17:12:33,2018-03-23,17,17:12,2018,23,3,17,Mostly Cloudy,,,57.0,53.0,13.8,10.0,No,2018-03-23 17:00:00,
98,63,37.720791,-122.400223,0,0.0,0,0,1,0,0,0,0,0,1,2,2018-11-08 07:03:54,2018-11-08,7,07:03,2018,8,11,7,Clear,,,55.0,57.0,4.6,10.0,No,2018-11-08 07:00:00,
99,63,37.720791,-122.400223,0,0.0,0,0,1,0,0,0,0,0,1,2,2018-11-08 07:03:54,2018-11-08,7,07:03,2018,8,11,7,Partly Cloudy,,,50.0,66.0,,10.0,No,2018-11-08 07:00:00,
100,63,37.720791,-122.400223,0,0.0,0,0,1,0,0,0,0,0,1,2,2018-11-08 07:03:54,2018-11-08,7,07:03,2018,8,11,7,Partly Cloudy,,,53.1,43.0,,10.0,No,2018-11-08 07:00:00,
101,64,37.749699,-122.39728500000001,0,0.0,0,0,0,0,0,0,0,0,1,2,2018-05-29 02:44:26,2018-05-29,2,02:44,2018,29,5,2,Partly Cloudy,,,59.0,75.0,5.8,9.0,No,2018-05-29 02:00:00,
102,65,37.767596999999995,-122.396248,0,0.0,0,0,0,0,1,0,0,0,1,3,2020-05-29 15:12:54,2020-05-29,15,15:12,2020,29,5,15,Partly Cloudy,73.0,0.0,73.0,55.0,13.0,10.0,No,2020-05-29 15:00:00,
103,65,37.767596999999995,-122.396248,0,0.0,0,0,0,0,1,0,0,0,1,3,2020-05-29 15:12:54,2020-05-29,15,15:12,2020,29,5,15,Mostly Cloudy / Windy,70.0,0.0,70.0,55.0,25.0,10.0,No,2020-05-29 15:00:00,
104,66,37.76542,-122.40486000000001,0,0.249,0,0,0,0,0,0,0,0,1,2,2019-02-14 15:43:30,2019-02-14,15,15:43,2019,14,2,15,Mostly Cloudy,,,55.0,64.0,18.4,10.0,No,2019-02-14 15:00:00,
105,67,37.77129,-122.40853,0,0.0,0,0,0,0,0,0,0,1,1,3,2020-05-02 16:34:10,2020-05-02,16,16:34,2020,2,5,16,Mostly Cloudy,67.0,0.0,67.0,61.0,17.0,10.0,No,2020-05-02 16:00:00,
106,67,37.77129,-122.40853,0,0.0,0,0,0,0,0,0,0,1,1,3,2020-05-02 16:34:10,2020-05-02,16,16:34,2020,2,5,16,Mostly Cloudy,65.0,0.0,65.0,65.0,14.0,10.0,No,2020-05-02 16:00:00,
107,68,37.73174,-122.40433999999999,0,0.275,0,0,0,0,0,0,0,0,0,2,2016-12-03 16:09:43,2016-12-03,16,16:09,2016,3,12,16,Partly Cloudy,,,59.0,62.0,12.7,10.0,No,2016-12-03 16:00:00,
108,69,37.731361,-122.42383600000001,0,0.0,0,0,1,0,0,0,0,0,1,3,2019-12-25 06:12:04,2019-12-25,6,06:12,2019,25,12,6,Mostly Cloudy,44.0,0.0,49.0,80.0,12.0,10.0,No,2019-12-25 06:00:00,
109,69,37.731361,-122.42383600000001,0,0.0,0,0,1,0,0,0,0,0,1,3,2019-12-25 06:12:04,2019-12-25,6,06:12,2019,25,12,6,Mostly Cloudy,43.0,0.0,47.0,86.0,9.0,10.0,No,2019-12-25 06:00:00,
